,fecha,casa,hospital,uci,fallecidos,recuperados,otros,total
0,2020-03-14,0,0,0,0,0,0,0
1,2020-03-15,0,0,0,0,0,0,0
2,2020-03-16,0,0,0,0,0,0,0
3,2020-03-17,2,0,0,0,0,0,2
4,2020-03-18,2,0,0,0,0,0,2
5,2020-03-19,5,0,0,0,0,0,5
6,2020-03-20,5,0,0,0,0,0,5
7,2020-03-21,7,0,0,0,0,0,7
8,2020-03-22,7,0,0,0,0,0,7
9,2020-03-23,7,0,0,0,0,0,7
10,2020-03-24,9,0,0,0,0,0,9
11,2020-03-25,11,0,0,0,0,0,11
12,2020-03-26,11,0,0,0,0,0,11
13,2020-03-27,13,0,0,0,0,0,13
14,2020-03-28,16,0,0,0,0,0,16
15,2020-03-29,19,1,0,0,0,0,20
16,2020-03-30,20,1,0,0,0,0,21
17,2020-03-31,20,1,0,0,0,0,21
18,2020-04-01,29,1,0,0,1,0,31
19,2020-04-02,25,0,2,0,4,0,31
20,2020-04-03,32,2,3,1,4,0,42
21,2020-04-04,31,3,2,2,4,0,42
22,2020-04-05,32,2,3,2,5,0,44
23,2020-04-06,33,2,3,2,5,0,45
24,2020-04-07,37,2,2,2,5,0,48
25,2020-04-08,38,2,2,2,5,0,49
26,2020-04-09,38,3,2,2,10,0,55
27,2020-04-10,42,3,2,2,11,0,60
28,2020-04-11,44,5,2,2,12,0,65
29,2020-04-12,44,6,2,2,12,0,66
30,2020-04-13,43,7,2,2,14,0,68
31,2020-04-14,45,6,2,3,14,0,70
32,2020-04-15,45,6,2,3,14,0,70
33,2020-04-16,46,1,5,3,16,0,71
34,2020-04-17,35,3,5,3,28,0,74
35,2020-04-18,39,3,4,3,28,0,77
36,2020-04-19,41,3,4,3,28,0,79
37,2020-04-20,37,4,4,3,32,0,80
38,2020-04-21,42,2,5,3,32,0,84
39,2020-04-22,44,2,5,4,32,0,87
40,2020-04-23,45,4,3,5,32,0,89
41,2020-04-24,49,4,3,5,33,0,94
42,2020-04-25,56,4,3,5,33,0,101
43,2020-04-26,67,3,3,6,34,0,113
44,2020-04-27,83,3,3,6,35,0,130
45,2020-04-28,92,3,3,6,35,0,139
46,2020-04-29,90,5,3,6,37,0,141
47,2020-04-30,110,5,3,8,37,0,163
48,2020-05-01,111,6,3,7,41,0,168
49,2020-05-02,136,12,4,8,41,0,201
50,2020-05-03,180,10,6,11,41,0,248
51,2020-05-04,192,10,6,11,41,0,260
52,2020-05-05,217,26,7,16,44,0,310
53,2020-05-06,223,25,5,19,47,0,319
54,2020-05-07,243,26,5,20,48,0,342
55,2020-05-08,297,34,4,20,49,0,404
56,2020-05-09,304,35,4,23,52,0,418
57,2020-05-10,333,38,5,23,56,0,455
58,2020-05-11,355,38,6,24,58,0,481
59,2020-05-12,389,35,9,24,59,0,516
60,2020-05-13,492,41,9,24,61,0,627
61,2020-05-14,547,47,10,24,65,0,693
62,2020-05-15,614,51,13,26,68,0,772
63,2020-05-16,647,52,12,27,74,0,812
64,2020-05-17,711,74,16,27,81,1,910
65,2020-05-18,731,71,14,31,84,1,932
66,2020-05-19,767,68,15,32,88,1,971
67,2020-05-20,832,70,15,32,90,1,1040
68,2020-05-21,894,74,16,32,107,1,1124
69,2020-05-22,935,75,14,37,124,1,1186
70,2020-05-23,1055,84,22,41,130,1,1333
71,2020-05-24,1158,83,22,43,143,1,1450
72,2020-05-25,1202,59,21,43,157,1,1483
73,2020-05-26,1270,63,22,45,175,1,1576
74,2020-05-27,1299,69,23,47,181,1,1620
75,2020-05-28,1330,74,23,48,228,1,1704
76,2020-05-29,1419,49,21,51,253,3,1796
77,2020-05-30,1556,88,22,60,262,3,1991
